country	intercept	slope	sd
Bulgaria	65.7373076923078	0.14568881118881	2.39234878979645
Croatia	63.8557820512821	0.22545944055944	1.09415115648231
Poland	64.7808974358975	0.196218881118881	1.54577616991331
Costa Rica	59.1047051282051	0.40278951048951	1.44816550169547
Montenegro	62.2416282051282	0.293001398601398	2.625675543545
Taiwan	61.3374358974359	0.327244755244755	1.24944451314927
Portugal	61.1467948717949	0.337201398601398	1.08666644793204
Slovak Republic	67.0098717948718	0.134044055944055	1.23933882585012
Uruguay	65.7416025641026	0.183272027972027	0.508843820427869
Cuba	62.2134487179487	0.321150349650349	1.65963703873438
Singapore	61.8458846153846	0.340886013986014	0.678769461512339
Czech Republic	67.528076923077	0.144815384615384	0.787076070820814
Slovenia	66.0863461538462	0.200523776223776	0.677754144148894
Puerto Rico	66.9485256410257	0.210574825174825	1.2096755162564
Finland	66.4489743589744	0.237925174825174	0.337732398226817
Ireland	67.5414615384615	0.19911958041958	0.455615979583546
Austria	66.4484615384616	0.241992307692307	0.38844960343087
Germany	67.5681282051282	0.213683216783216	0.396716312618481
United States	68.4138461538462	0.184169230769231	0.396768150227516
Hong Kong, China	63.428641025641	0.365970629370629	1.11355820286105
Belgium	67.8919230769231	0.209084615384615	0.279271561200038
Israel	66.3004102564103	0.267106293706294	0.348719511545554
Greece	67.0672051282051	0.242398601398601	0.742215213807076
United Kingdom	68.8085256410257	0.185965734265734	0.421543130448792
Italy	66.5967948717949	0.269710489510489	0.397345741744798
Spain	66.4778205128206	0.280930769230768	0.966024834145813
France	67.7901282051282	0.238501398601399	0.209806438863338
Denmark	71.0335897435898	0.12133006993007	0.380229498180095
Japan	65.1220512820513	0.352904195804195	1.30547490849218
Canada	68.8838461538462	0.21886923076923	0.237648922761095
Switzerland	69.453717948718	0.222231468531468	0.204910041560788
Netherlands	71.8896153846154	0.136686713286713	0.331576279292103
Norway	72.2146153846154	0.131941258741258	0.466890649484406
Sweden	71.605	0.166254545454545	0.201912754254364
Iceland	71.9635897435898	0.165375524475524	0.52136017693742
